"Action","Aktion"
"Change Index Mode","Index-Modus Ã¤ndern"
"Description","Beschreibung"
"Enable Scheduled Cleanup","Geplante Reinigung aktivieren"
"Frequency","Frequenz"
"Index","Index"
"Index Clean Schedule","Zeitplan Index-Reinigung"
"Index Management","Index Management"
"Index Options","Index-Optionen"
"Index mode","Indexmodus"
"Mode","Modus"
"Never","Niemals"
"Processing","Bearbeitung"
"Ready","Fertig"
"Reindex Data","Daten neu indexieren"
"Reindex Required","Neuindexierung erforderlich"
"Scheduled","Geplant"
"Start Time","Startzeit"
"Status","Status"
"Unable to save the cron expression.","Cron-Ausdruck konnte nicht gespeichert werden."
"Update Required","Update erforderlich"
"Update on Save","Aktualisierung gespeichert."
"Update when scheduled","Aktualisieren, wenn geplant"
"Updated At","Aktualisiert am"
