"""%s"" exceeds the allowed length.","""%s"" überschreitet die vorgeschriebene Länge."
"""%s"" invalid type entered.","Ungültiger ""%s""-Typ eingegeben."
"""%s"" is not a valid email address.","""%s"" ist eine ungültige E-Mail-Adresse."
"""%s"" is not a valid hostname.","""%s"" ist eine ungültiger Hostname."
"#","#"
"%s RMA (s) have been closed.","%s RMA(s) wurde(n) geschlossen."
"%s RMA(s) cannot be closed","%s RMA(s) kann/können nicht geschlossen werden."
"%s for item %s cannot be empty.","%s für den Artikel %s darf nicht leer sein."
"About This Order:","Über diese Bestellung:"
"Action","Aktion"
"Add","Hinzufügen"
"Add Details","Details hinzufügen"
"Add Item To Return","Artikel zur Rücksendung hinzufügen"
"Add New Attribute","Neues Merkmal hinzufügen"
"Add Products","Produkte hinzufügen"
"Add Selected Product(s) to RMA","Ausgewählte(s) Produkt(e) zu RMA hinzufügen"
"All Items","Alle Artikel"
"An error occurred while creating shipping label.","Ein Fehler ist aufgetreten beim Erstellen des Versandlabels."
"An error occurred while deleting the RMA item attribute.","Beim Löschen des RMA-Artikelmerkmals ist ein Fehler aufgetreten."
"An error occurred while saving the RMA item attribute.","Beim Speichern des RMA-Artikelmerkmals ist ein Fehler aufgetreten."
"Answers","Antworten"
"Approved","Genehmigt"
"Approved Qty","Genehmigte Stckz."
"Are you sure you want to close this RMA request?","Sind Sie sicher, dass Sie diese RMA Anfrage schliessen möchten?"
"Are you sure you want to delete this tracking information?","Wollen Sie diese Tracking-Informationen wirklich löschen?"
"Attribute Information","Merkmal-Informationen"
"Attribute is no longer exists.","Das Attribut existiert nicht mehr."
"Attribute with the same code already exists","Ein Attribut mit dem gleichen Code existiert bereits."
"Authorized","Authorisiert"
"Authorized Qty","Authorisierte Menge"
"Back","Zurück"
"Cancel","Abbrechen"
"Cannot add RMA history.","RMA-Verlauf kann nicht hinzugefügt werden."
"Cannot add label.","Label kann nicht hinzugefügt werden."
"Cannot add message.","Mitteilung kann nicht hinzugefügt werden."
"Cannot add tracking number.","Trackingnummer kann nicht hinzugefügt werden."
"Cannot create New Return, try again later","Neue Retoure kann nicht hinzugefügt werden, bitte später nochmal versuchen"
"Cannot create rma for order #%s.","RMA kann für die Bestellung #%s nicht erstellt werden."
"Cannot delete label.","Label kann nicht gelöscht werden."
"Cannot delete tracking number.","Trackingnummer kann nicht gelöscht werden."
"Cannot display available shipping methods.","Verfügbare Liefermethoden können nicht angezeigt werden."
"Cannot display item attributes.","Produktattribute können nicht angezeigt werden."
"Cannot get product list.","Produktliste kann nicht aufgerufen werden."
"Cannot initialize rma for adding tracking number.","RMA kann nicht intialisiert werden, um die Trackingnummer hinzuzufügen."
"Cannot initialize rma for delete tracking number.","RMA kann nicht initialisiert werden, um die Trackingnummer zu löschen."
"Cannot load track with retrieving identifier.","Der Track kann mit Hilfe des abrufenden Bezeichners nicht geladen werden."
"Carrier","Carrier"
"City","Stadt"
"Click to change shipping method","Klicken Sie hier, um die Liefermethode zu löschen"
"Close","Schließen"
"Close Window","Fenster schließen"
"Closed","Geschlossen"
"Comma separated","Durch Komma getrennt"
"Comma-separated.","Durch Komma getrennt"
"Comment Text","Kommentartext"
"Comments","Kommentare"
"Condition","Zustand"
"Contact Email Address","Kontakt-E-Mailadresse"
"Contact Name","Kontaktname"
"Contents","Inhalt"
"Country","Land"
"Create New RMA","Neue RMA erstellen"
"Create New RMA for %s","Neue RMA für %s erstellen"
"Create New RMA for %s in %s","Neue RMA erstellen für %s in %s"
"Create New Return","Neue Retoure erstellen"
"Create RMA","RMA erstellen"
"Create Shipping Label","Versandlabel erstellen"
"Customer","Kunde"
"Customer My Account Order Returns View","Kunde Mein Konto Versandkosten anzeigen"
"Customer My Account Return View","Kunde Mein Konto Rückzahlung anzeigen"
"Customer My Return Create","Kunde Meine Rückzahlung erstellen"
"Customer My Returns History","Kunde Meine Rückzahlungen Verlauf"
"Customer Name","Kundenname"
"Customer Service","Kundenservice"
"Customs Value","Zollwert"
"Date","Datum"
"Date Requested","Datum benötigt"
"Delete","Löschen"
"Delete Attribute","Attribut löschen"
"Delete Line","Linie entfernen"
"Denied","Abgelehnt"
"Details","Details"
"Dropdown","Dropdown"
"Edit RMA Item Attribute","RMA Artikeleigenschaften bearbeiten"
"Edit RMA Item Attribute ""%s""","RMA Artikeleigenschaft ""%s"" bearbeiten"
"Email Address","E-Mail-Adresse"
"Email RMA Confirmation","E-Mail-RMA-Bestätigung"
"Enable RMA on Frontend","RMA im Frontend aktivieren"
"Enable RMA on Product Level","RMA auf der Produktebene aktivieren"
"Enabled","Aktiviert"
"Enabled for RMA","Für RMA aktiviert"
"Enabled when authorized items require a new shipment","Aktiviert, wenn autorisierte Artikel einen neuen Versand erfordern"
"Enter valid Tracking Number.","Gültige Trackingnummer eingeben"
"Enter valid message.","Gültige Nachricht eingeben."
"Failed to save RMA.","Speichern der RMA fehlgeschlagen."
"File Extensions","Dateierweiterungen"
"File extension not known or unsupported type in the following shipment: %s","Dateierweiterung ist unbekannt oder wird nicht unterstützt bei der folgenden Lieferung: %s"
"Forms to Use In","Formulare für die Nutzung"
"Frontend Properties","Frontend-Eigenschaften"
"General Information","Allgemeine Informationen"
"Girth","Umfang"
"Guest Order Create Return","Gastbestellung Rückgabe"
"Guest Order Returns View","Gastbestellung Retouren ansehen"
"Guest Order View Return","Gastbestellung-Ansicht Retouren"
"Height","Höhe"
"Hide Details","Details ausblenden"
"ID","ID"
"Image File","Bilddatei"
"Individual Items","Individuelle Artikel"
"Input Type","Input Typ"
"Input Validation","Input Bestätigung"
"Input/Output Filter","Input/Output Filter"
"Insufficient information to create shipping label(s). Please verify your Store Information and Shipping Settings.","Unzureichende Informationen um ein Versandetikett/en zu erstellen. Bitte bestätigen Sie Ihre Shop Informationen und Versandeinstellungen."
"Invalid RMA.","Ungültige RMA."
"Invalid carrier: %s.","Ungültiger Spediteur: %s."
"Invalid order.","Ungültige Bestellung."
"It isn\'t valid order","Das ist eine/keine gültige Bestellung"
"Item","Artikel"
"Item Condition","Artikelzustand"
"Items","Artikel"
"Items Return Requested For","Artikelrückgabe gefordert für"
"Items in the Package","Artikel in der Sendung"
"Leave Comment","Bemerkungen"
"Length","Länge"
"Lines Count","Linienzählung"
"Manage Label / Options","Bearbeitung Label / Optionen"
"Manage RMA","Bearbeitung RMA"
"Manage RMA Item Attribute","Bearbeitung RMA Artikeleigenschaft"
"Manage RMA Item Attributes","Bearbeitung RMA Artikeleigenschaften"
"Manage RMA Items Attributes","Bearbeitung RMA Artikeleigenschaften"
"Maximum File Size (bytes)","Maximale Datengröße (Bytes)"
"Maximum Image Height (px)","Maximale Bildhöhe (Px)"
"Maximum Image Width (px)","Maximale Bildbreite (px)"
"Maximum Text Length","Maximale Textlänge"
"Minimum Text Length","Minimale Textlänge"
"My Returns","Meine Retouren"
"New Attribute","Neues Attribut"
"New RMA","Neues RMA"
"New RMA Item Attribute","Neues RMA Element-Attribut"
"New RMA Request","Neue RMA-Anfrage"
"New RMA for Guest","Neue RMA für Gast"
"New Return for Order %s","Neue Rücksendung für Bestellung %s"
"No","Nein"
"No authorized items or allowed shipping methods","Keine zugelassenen Artikel oder keine zugelassene Versandmethode."
"No detail for number ""%s""","Keine Details zur Nummer ""%s"""
"No items for bundle product.","Keine Artikel für Bündelprodukt."
"None","Keins"
"Not Notified","Nicht benachrichtigt"
"Notified","Benachrichtigt"
"Notify Customer by Email","Kunde per E-Mail benachrichtigen"
"Number","Nummer"
"OK","OK"
"Only one RMA is available for printing","Nur eine Rücksendenummer ist zum Drucken verfügbar"
"Order #","Bestell-Nr."
"Order # ","Order # "
"Order # %s","Bestellung # %s"
"Order #%s - %s","Bestell-Nr.%s - %s"
"Order Date","Bestelldatum"
"Order Date: ","Bestelldatum"
"Order Date: %s","Bestelldatum: %s"
"Order ID","Bestellungsidentifizierung"
"Order Shipping Address","Lieferadresse anweisen"
"Packages","Verpackungen"
"Partially Approved","Teilweise genehmigt"
"Partially Authorized","Teilweise bewilligt"
"Partially Rejected","Teilweise abgelehnt"
"Pending","ausstehend / anhängig"
"Please Select Order","Bitte Bestellung auswählen"
"Please Select Products to Add","Bitte hinzuzufügende Produkte auswählen"
"Please select one of the options.","Bitte eine der Wahlmöglichkeiten wählen."
"Please wait, loading...","Bitte warten, lade...."
"Price","Preis"
"Print","Drucken"
"Print Shipping Label","Versandetikett drucken"
"Processed and Closed","Bearbeitet und geschlossen"
"Product","Produkt"
"Product Name","Produktbezeichnung"
"Products should be added to package(s)","Produkte sollten dem Paket/den Paketen hinzugefügt werden"
"Properties","Eigenschaften"
"Qty","Menge"
"Qty Ordered","Bestellmenge"
"Qty:","Menge:"
"Quantity To Return","Menge der Retouren"
"Quantity of %s is greater than you can return.","Menge der %s übersteigt die Menge der erlaubten Retouren."
"Questions","Fragen"
"RMA","RMA"
"RMA #","RMA #"
"RMA #%s","RMA #%s"
"RMA #%s - %s","RMA #%s - %s"
"RMA Admin Comments","RMA Admin-Kommentare"
"RMA Admin Comments for Guest","RMA Admin-Kommentare für Gäste"
"RMA Authorization","RMA Autorisation"
"RMA Authorization Email Sender","RMA Autorisation Email-Sender"
"RMA Authorization Email Template","RMA Autorisation Email-Template"
"RMA Authorization Email Template for Guest","RMA Autorisation Email-Template für Gäste"
"RMA Authorization for Guest","RMA Autorisation für Gäste"
"RMA Comment Email Recipient","RMA Kommentar Email-Empfänger"
"RMA Comment Email Sender","RMA Kommentar Email-Sender"
"RMA Comment Email Template","RMA Kommentar Email-Template"
"RMA Comment Email Template for Guest","RMA Kommentar Email-Template für Gäste"
"RMA Confirmation","RMA Bestätigung"
"RMA Customer Comments","RMA Kundenkommentare"
"RMA Email Sender","RMA Email-Sender"
"RMA Email Template","RMA Email-Template"
"RMA Email Template for Guest","RMA Email-Template für Gäste"
"RMA History","RMA Verlauf"
"RMA Information","RMA Information"
"RMA Item Details","RMA Artikeldetails"
"RMA Items","RMA Artikel"
"RMA Items Requested for","RMA Artikelanforderung für"
"RMA Settings","RMA Einstellungen"
"Reason to Return","Rückgabegrund"
"Rejected","Abgelehnt"
"Remaining Qty","Verbleibende Menge"
"Remaining Qty:","Verbleibende Menge:"
"Remove","Löschen"
"Request Details","Einzelheiten anfordern"
"Request Information","Information anfordern"
"Request Qty","Stückzahl anfordern"
"Requested Qty","Angeforderte Stückzahl"
"Resolution","Auflösung / Entschluss"
"Return","Retoure / Rücksendung"
"Return #","Rücksendenummer"
"Return # ","Return # "
"Return #%s has been submitted successfully","Rückgabe #%s wurde erfolgreich abgeschickt"
"Return Address","Rücksendeadresse"
"Return Address:","Rücksendeadresse:"
"Return Date: ","Rücksendedatum:"
"Return Items Information","Informationen zu den zurückgesendeten Artikeln"
"Return Partially Received","Rücksendung teilweise erhalten"
"Return Received","Rücksendung erhalten"
"Return Status","Rücksendestatus"
"Returned Qty","Rücksende-Qty"
"Returns History Info","Verlaufsinfo der Rücksendungen"
"SKU","Artikelposition"
"Sales","Verkäufe"
"Save","Speichern"
"Save Attribute","Eigenschaft speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Select","Auswählen"
"Select Items","Artikel auswählen"
"Select valid carrier.","Gültigen Spediteur auswählen."
"Send RMA Authorization Email Copy Method","RMA-Authorisierung als Email-Kopie senden"
"Send RMA Authorization Email Copy To","RMA-Authorisierung als Email-Kopie senden an"
"Send RMA Comment Email Copy To","RMA-Bemerkungen als Email-Kopie senden an"
"Send RMA Email Copy Method","RMA als Email-Kopie senden"
"Send RMA Email Copy To","RMA als Email-Kopie senden an"
"Ship From","Versand von"
"Shipment Package Popup","Popup Versandfertige Sendung"
"Shipment Print Label Popup","Popup Gedrucktes Versandlabel"
"Shipment Print Package Popup","Lieferungsaufdruck Popup"
"Shipment Tracking Popup","Sendungsverfolgung Popup"
"Shipping Address","Lieferadresse"
"Shipping Address:","Lieferadresse:"
"Shipping Information","Lieferinformationen:"
"Shipping Labels are not allowed.","Paketscheine sind nicht erlaubt."
"Shipping Method","Liefermethode"
"Shipping and Tracking Information","Versand- und Verlaufsinformation"
"Show Details","Details anzeigen"
"Show Packages","Sendungen anzeigen"
"Show on Frontend","Am Frontende anzeigen"
"Size","Größe"
"Sort Order","Sortierfolge"
"Split","Teilen"
"State/Province","Staat/Bezirk"
"Status","Status"
"Street Address","Anschrift (Straße, Hausnummer, PLZ)"
"Sub-items:","Unterartikel:"
"Submit","Übermitteln"
"Submit Comment","Kommentar abschicken"
"Submit RMA","RMA abschicken"
"Text Area","Textbereich"
"Text Field","Textfeld"
"The RMA item attribute has been deleted.","Die RMA-Artikel-Eigenschaft wurde entfernt."
"The RMA item attribute has been saved.","Die RMA-Artikel-Eigenschaft wurde gespeichert."
"The RMA request has been saved.","Die RMA Anfrage wurde gespeichert."
"The RMA request has been submitted.","Die RMA-Anforderung wurde abgeschickt."
"The RMA request(s) cannot be closed","Die RMA-Anforderung(en) kann nicht geschlossen werden."
"The carrier needs to be specified.","Der Spediteur muss spezifiziert werden."
"The quantity you want to add exceeds the total shipped quantity for some of selected Product(s)","Die Menge, die Sie hinzufügen möchten übersteigt die Gesamtanzahl des ausgewählten Produktes / der ausgewählten Produkte."
"The shipping label has been created.","Das Versandlabel wurde erstellt."
"The value that you entered is not valid.","Der von Ihnen eingegebene Wert ist ungültig."
"There are no applicable items for return in this order","Es gibt keine Artikel zur Rückgabe in dieser Bestellung"
"There is an error in quantities for item %s.","Es gibt einen Fehler in der Menge für Artikel %s."
"Total Weight","Gesamtgewicht"
"Track this shipment","Diese Sendung verfolgen"
"Tracking number cannot be empty.","Nummer zum Verlaufsstatus kann nicht leer sein."
"Type","Typ"
"Use Store Address","Nutzen Sie die Store-Adresse"
"Use config","config verwenden"
"Valid range 2-20","Geltungsbereich 2-20"
"View","Ansicht"
"View Return","Ansicht Rückgabe"
"Visible on Frontend","Am Frontende sichtbar"
"Weight","Gewicht"
"Width","Breite"
"Wrong RMA Selected.","Falsche RMA ausgewählt."
"Wrong RMA item requested.","Falsches RMA-Objekt angefordert."
"Wrong RMA item status.","Falscher RMA-Artikelstatus."
"Wrong RMA order id.","Falsche RMA-Bestellnummer."
"Wrong RMA requested.","Falsche RMA angefordert."
"Wrong order id or item id requested.","Falsche Bestellnummer oder Artikelnummer angefordert."
"Wrong rma id.","Falsche RMA-Nummer."
"Yes","Ja"
"You cannot delete this attribute.","Sie können diese Einstellung nicht entfernen."
"You cannot edit this attribute.","Sie können diese Einstellung nicht bearbeiten."
"You cannot return %s.","Sie können nicht %s zurückgeben."
"You have chosen to change status(es) of the selected RMA requests to Close.\nAre you sure you want to proceed?","Sie haben Statusänderung(en) der ausgewählten RMA-Anforderungen schließen gewählt. \nSind Sie sicher, dass Sie fortfahren möchten?"
"You have placed no returns.","Sie haben keine Rückgaben platziert."
"Your Return request has been authorized.","Ihre Rückgabeforderung wurde autorisiert."
"Your Return request has been closed.","Ihre Rückgabeanfrage wurde geschlossen."
"Your Return request has been partially approved.","Ihre Rückgabeanfrage wurde teilweise zugelassen."
"Your Return request has been partially authorized. ","Ihre Rückgabeanfrage wurde teilweise authorisiert."
"Your Return request has been partially received.","Ihre Rückgabeanfrage wurde teilweise erhalten."
"Your Return request has been partially rejected.","Ihre Rückgabeanfrage wurde teilweise zurückgewiesen."
"Your Return request has been placed.","Ihre Rückgabeanfrage wurde aufgegeben."
"Your Return request has been processed and closed.","Ihre Rückgabeanfrage wurde bearbeitet und geschlossen."
"Your Return request has been received.","Ihre Rückgabeanfrage wurden empfangen."
"ZIP/Postal Code","PLZ"
